center,left,right,steering,throttle,reverse,speed
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_09_244.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_09_244.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_09_244.jpg,-0.2,0.07803,0,7.022213
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_09_312.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_09_312.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_09_312.jpg,-0.35,0.2810694,0,7.098442
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_09_401.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_09_401.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_09_401.jpg,-0.5500001,0.5471133,0,7.413355
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_09_468.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_09_468.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_09_468.jpg,-0.7500002,0.7480292,0,7.924
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_09_537.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_09_537.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_09_537.jpg,-0.9000002,0.9522699,0,8.435671
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_09_606.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_09_606.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_09_606.jpg,0,0.7439526,0,9.033719
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_09_677.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_09_677.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_09_677.jpg,0,0.5303028,0,9.423016
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_09_745.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_09_745.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_09_745.jpg,0,0.3252224,0,9.728806
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_09_813.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_09_813.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_09_813.jpg,0,0.5286269,0,9.989767
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_09_882.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_09_882.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_09_882.jpg,0,0.734234,0,10.39809
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_09_951.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_09_951.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_09_951.jpg,0,0.9424874,0,11.12643
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_10_019.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_10_019.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_10_019.jpg,0,1,0,11.61594
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_10_094.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_10_094.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_10_094.jpg,0,1,0,12.62621
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_10_161.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_10_161.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_10_161.jpg,0,1,0,13.18684
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_10_229.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_10_229.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_10_229.jpg,0,1,0,14.2319
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_10_298.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_10_298.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_10_298.jpg,0,1,0,14.73409
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_10_367.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_10_367.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_10_367.jpg,0,1,0,15.59672
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_10_436.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_10_436.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_10_436.jpg,0,1,0,16.31195
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_10_507.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_10_507.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_10_507.jpg,-0.15,1,0,17.13239
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_10_577.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_10_577.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_10_577.jpg,-0.3,1,0,17.69179
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_10_665.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_10_665.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_10_665.jpg,-0.5500001,1,0,18.61366
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_10_737.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_10_737.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_10_737.jpg,0,1,0,19.18849
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_10_809.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_10_809.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_10_809.jpg,0,1,0,20.00585
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_10_878.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_10_878.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_10_878.jpg,0,1,0,20.59493
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_10_948.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_10_948.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_10_948.jpg,0,1,0,21.39798
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_11_018.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_11_018.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_11_018.jpg,0,1,0,22.01063
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_11_092.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_11_092.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_11_092.jpg,0,1,0,22.79865
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_11_160.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_11_160.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_11_160.jpg,-0.15,1,0,23.37309
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_11_230.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_11_230.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_11_230.jpg,0,1,0,24.11036
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_11_301.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_11_301.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_11_301.jpg,0,1,0,24.69026
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_11_374.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_11_374.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_11_374.jpg,0,1,0,25.45719
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_11_444.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_11_444.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_11_444.jpg,0,1,0,26.21927
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_11_515.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_11_515.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_11_515.jpg,0,0.7866646,0,26.72092
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_11_588.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_11_588.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_11_588.jpg,0,0.5657688,0,27.16458
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_11_661.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_11_661.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_11_661.jpg,-0.05,0.348501,0,27.34051
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_11_729.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_11_729.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_11_729.jpg,-0.25,0.1438788,0,27.32917
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_11_800.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_11_800.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_11_800.jpg,-0.4,0.3557622,0,27.25353
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_11_874.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_11_874.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_11_874.jpg,-0.6000001,0.5778567,0,27.30194
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_11_946.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_11_946.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_11_946.jpg,0,0.793909,0,27.65583
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_12_017.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_12_017.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_12_017.jpg,0,1,0,28.12323
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_12_095.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_12_095.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_12_095.jpg,0,1,0,28.86172
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_12_168.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_12_168.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_12_168.jpg,0,1,0,29.59622
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_12_247.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_12_247.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_12_247.jpg,0,1,0,30.1901
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_12_313.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_12_313.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_12_313.jpg,0,1,0,30.19029
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_12_390.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_12_390.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_12_390.jpg,-0.1,1,0,30.18822
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_12_463.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_12_463.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_12_463.jpg,-0.3,1,0,30.1696
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_12_534.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_12_534.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_12_534.jpg,0,1,0,30.18895
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_12_610.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_12_610.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_12_610.jpg,0,1,0,30.19014
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_12_679.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_12_679.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_12_679.jpg,0,1,0,30.19025
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_12_756.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_12_756.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_12_756.jpg,0,1,0,30.1903
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_12_827.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_12_827.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_12_827.jpg,0,1,0,30.19028
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_12_897.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_12_897.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_12_897.jpg,0,1,0,30.19032
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_12_972.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_12_972.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_12_972.jpg,-0.05,1,0,30.18973
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_13_045.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_13_045.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_13_045.jpg,-0.25,1,0,30.17484
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_13_114.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_13_114.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_13_114.jpg,0,1,0,30.18876
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_13_190.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_13_190.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_13_190.jpg,0,1,0,30.19133
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_13_260.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_13_260.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_13_260.jpg,0,1,0,30.19049
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_13_334.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_13_334.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_13_334.jpg,0,1,0,30.18988
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_13_411.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_13_411.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_13_411.jpg,0,1,0,30.19125
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_13_488.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_13_488.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_13_488.jpg,0,1,0,30.19052
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_13_566.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_13_566.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_13_566.jpg,0,1,0,30.19034
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_13_658.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_13_658.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_13_658.jpg,0,1,0,30.19038
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_13_753.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_13_753.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_13_753.jpg,-0.15,1,0,30.18411
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_13_848.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_13_848.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_13_848.jpg,0,1,0,30.18935
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_13_948.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_13_948.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_13_948.jpg,0,1,0,30.19013
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_14_016.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_14_016.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_14_016.jpg,0,1,0,30.19027
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_14_108.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_14_108.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_14_108.jpg,-0.1,1,0,30.18789
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_14_197.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_14_197.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_14_197.jpg,-0.3,1,0,30.16932
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_14_281.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_14_281.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_14_281.jpg,0,1,0,30.18986
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_14_367.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_14_367.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_14_367.jpg,0,1,0,30.19047
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_14_452.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_14_452.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_14_452.jpg,-0.1,1,0,30.18819
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_14_536.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_14_536.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_14_536.jpg,-0.3,1,0,30.17028
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_14_611.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_14_611.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_14_611.jpg,0,1,0,30.18829
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_14_679.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_14_679.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_14_679.jpg,0,1,0,30.18988
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_14_756.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_14_756.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_14_756.jpg,-0.05,1,0,30.1901
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_14_824.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_14_824.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_14_824.jpg,-0.25,0.9342931,0,30.1558
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_14_898.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_14_898.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_14_898.jpg,0,0.7156066,0,30.1233
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_14_971.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_14_971.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_14_971.jpg,0,0.4958851,0,30.07513
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_15_041.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_15_041.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_15_041.jpg,0,0.2814335,0,30.0212
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_15_114.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_15_114.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_15_114.jpg,-0.05,0.06512117,0,29.94175
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_15_188.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_15_188.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_15_188.jpg,-0.25,0,0,29.68277
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_15_259.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_15_259.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_15_259.jpg,0,0,0,29.48126
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_15_332.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_15_332.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_15_332.jpg,0,0,0,29.24194
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_15_407.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_15_407.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_15_407.jpg,0,0,0,29.00632
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_15_479.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_15_479.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_15_479.jpg,0,0,0,28.83114
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_15_556.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_15_556.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_15_556.jpg,-0.05,0,0,28.59884
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_15_626.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_15_626.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_15_626.jpg,-0.25,0,0,28.33777
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_15_702.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_15_702.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_15_702.jpg,0,0,0,28.16323
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_15_773.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_15_773.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_15_773.jpg,0,0,0,27.93622
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_15_845.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_15_845.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_15_845.jpg,0,0,0,27.71142
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_15_924.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_15_924.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_15_924.jpg,0,0.1518513,0,27.55486
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_15_995.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_15_995.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_15_995.jpg,0,0.3638349,0,27.56167
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_16_073.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_16_073.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_16_073.jpg,-0.15,0.5955417,0,27.79233
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_16_144.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_16_144.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_16_144.jpg,-0.35,0.5130207,0,28.07046
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_16_222.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_16_222.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_16_222.jpg,0,0.2798748,0,28.16659
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_16_294.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_16_294.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_16_294.jpg,0,0.06227338,0,28.1163
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_16_372.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_16_372.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_16_372.jpg,0,0,0,27.89787
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_16_446.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_16_446.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_16_446.jpg,-0.15,0,0,27.66791
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_16_523.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_16_523.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_16_523.jpg,-0.35,0,0,27.3839
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_16_595.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_16_595.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_16_595.jpg,-0.5000001,0,0,27.11707
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_16_673.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_16_673.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_16_673.jpg,-0.7,0.0720231,0,26.78233
